Ref,Val,Package,PosX,PosY,Rot,Side
C1,100nF,C_0805_2012Metric,184.023,-22.9235,90,top
C2,1uF,C_0603_1608Metric,178.80076,-34.34364,270,top
C3,1uF,C_0603_1608Metric,178.09972,-36.99256,0,top
C4,1uF,C_0603_1608Metric,184.13476,-35.46632,90,top
C5,10uF,C_1206_3216Metric,144.526,-23.114,0,top
C6,10uF,C_1206_3216Metric,150.417,-23.114,180,top
C7,10uF,C_1206_3216Metric,160.8452,-23.0886,0,top
C8,10uF,C_1206_3216Metric,165.9654,-23.0632,0,top
D1,MBR120VLSFT3G,S-FLAT-2,166.78864,-28.57754,180,top
D2,BAT60AE6327HTSA1,SOD2513X110N,182.1688,-36.322,270,top
D3,PGB1010603MR,PGB1010603MR,156.5148,-21.1836,90,top
D4,PGB1010603MR,PGB1010603MR,186.055,-26.416,0,top
D5,PGB1010603MR,PGB1010603MR,186.944,-31.37408,270,top
D6,PGB1010603MR,PGB1010603MR,191.52616,-49.64176,0,top
IC1,TBD62083APG,SOIC127P1030X245-18N,82.73796,-46.18228,90,top
IC2,TBD62083APG,SOIC127P1030X245-18N,100.73386,-46.23308,90,top
IC3,TBD62083APG,SOIC127P1030X245-18N,131.572,-37.973,90,top
Q1,STL9P3LLH6,STL20N6F7,184.20484,-18.44548,90,top
R1,100R,R_0603_1608Metric,70.5998,-53.08092,180,top
R2,100R,R_0603_1608Metric,70.5998,-51.1302,180,top
R3,100R,R_0603_1608Metric,74.359,-53.05552,180,top
R4,100R,R_0603_1608Metric,74.359,-51.1048,180,top
R5,100R,R_0603_1608Metric,63.818,-26.3906,180,top
R6,100R,R_0603_1608Metric,63.818,-24.59736,180,top
R7,1k,R_0603_1608Metric,176.54828,-32.93872,0,top
R8,1k,R_0603_1608Metric,182.245,-23.1135,90,top
R9,2k2,R_0603_1608Metric,153.81428,-48.72228,180,top
R10,2k2,R_0603_1608Metric,153.7721,-51.8033,180,top
R11,2k2,R_0603_1608Metric,192.85,-20.447,0,top
R12,2k2,R_0603_1608Metric,192.85,-22.225,0,top
R13,22k,R_0603_1608Metric,178.08244,-30.92196,0,top
R14,100k,R_0603_1608Metric,172.72812,-29.20492,0,top
R15,100k,R_0603_1608Metric,172.71746,-30.87116,0,top
R16,100k,R_0603_1608Metric,175.58208,-27.051,180,top
R17,100k,R_0603_1608Metric,185.928,-23.114,270,top
R18,100k,R_0603_1608Metric,187.97524,-18.32864,270,top
S1,B3FS-1010P,6mm_tactile_smd,131.94284,-50.22596,180,top
S2,B3FS-1010P,6mm_tactile_smd,143.46936,-35.23488,270,top
S3,B3FS-1010P,6mm_tactile_smd,177.03292,-21.22932,90,top
